14:58:40,749 INFO  [org.radargun.LaunchMaster] (main) Running in directory: /mnt/workspace/results/.
14:58:40,753 INFO  [org.radargun.LaunchMaster] (main) Configuration file is: /mnt/workspace/results/config.xml
14:58:40,756 ERROR [org.radargun.config.DomConfigParser] (main) loading: /mnt/workspace/results/config.xml
14:58:40,763 ERROR [org.radargun.config.DomConfigParser] (main) loaded: /mnt/workspace/results/config.xml
14:58:41,181 INFO  [org.radargun.RemoteSlaveConnection] (main) Attempting to start Master listening for connection on: results/127.0.0.1:2103
14:58:41,184 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting 5 seconds for server socket to open completely
14:58:46,192 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 3 slaves.
14:58:46,222 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 2 slaves.
14:58:46,228 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 1 slaves.
14:58:46,233 INFO  [org.radargun.RemoteSlaveConnection] (main) Connection established from 3 slaves.
14:58:46,477 INFO  [org.radargun.Master] (main) Started benchmarking configuration 'Infinispan 9.2 - distributed'
14:58:46,478 INFO  [org.radargun.Master] (main) Starting scenario on Cluster[default=3]
14:58:46,608 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 3 reconnecting slaves
14:58:47,914 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 2 reconnecting slaves
14:58:48,020 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 1 reconnecting slaves
14:58:48,112 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioInit.
14:58:50,590 INFO  [org.radargun.stages.ScenarioInitStage] (main) Received responses from all 3 slaves. Durations [0 = 266 ms, 1 = 37 ms, 2 = 81 ms]
14:58:50,591 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioInit.
14:58:50,592 INFO  [org.radargun.Master] (main) Starting distributed stage BeforeServiceStart.
14:58:50,602 INFO  [org.radargun.stages.BeforeServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
14:58:50,602 INFO  [org.radargun.Master] (main) Finished distributed stage BeforeServiceStart.
14:58:50,605 INFO  [org.radargun.Master] (main) Starting distributed stage ServiceStart.
14:58:59,525 INFO  [org.radargun.stages.lifecycle.ServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 8.27 seconds, 1 = 8.36 seconds, 2 = 8.91 seconds]
14:58:59,528 INFO  [org.radargun.Master] (main) Finished distributed stage ServiceStart.
14:58:59,530 INFO  [org.radargun.Master] (main) Starting distributed stage AfterServiceStart.
14:58:59,544 INFO  [org.radargun.stages.AfterServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
14:58:59,546 INFO  [org.radargun.Master] (main) Finished distributed stage AfterServiceStart.
14:58:59,548 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStart.
14:58:59,587 INFO  [org.radargun.sysmonitor.AbstractMonitors] (main) Gathering statistics every 1000 ms
14:58:59,627 INFO  [org.radargun.stages.monitor.MonitorStartStage] (main) Received responses from all 3 slaves. Durations [0 = 16 ms, 1 = 8 ms, 2 = 27 ms]
14:58:59,628 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStart.
14:58:59,653 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
14:59:16,869 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 17.2 seconds, 1 = 17.13 seconds, 2 = 16.95 seconds]
14:59:16,870 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
